version,workload,n_samples,ok_ratio,best_score_avg,best_score_min,best_score_max,max_pose_dx,max_pose_dy,max_pose_dyaw,candidate_count_mode,top10_checksum_min,top10_checksum_max,score_checksum_min,score_checksum_max,max_abs_diff_max
L0_relaunch3,W0,1363,1.0,0.8352642831988262,0.675121,0.981263,0.0,0.0,0.0,3840,139558000.0,749714000.0,1124230000000.0,2104330000000.0,0.0
L0_relaunch3,W1,2007,1.0,0.8391113996013951,0.58893,0.980519,0.0,0.0,0.0,14415,177453000.0,748460000.0,9799630000000.0,24662600000000.0,0.0
L0_relaunch3,W2,1413,1.0,0.8364383029016278,0.670747,0.980519,0.0,0.0,0.0,54621,172378000.0,1057400000.0,71695300000000.0,191576000000000.0,0.0
L2_relaunch3,W0,3489,1.0,0.8305316554886787,0.647858,0.980519,0.0,0.0,0.0,3840,256907000.0,649971000.0,1134690000000.0,2122200000000.0,0.0
L2_relaunch3,W1,3983,1.0,0.830354669344715,0.647858,0.980519,0.0,0.0,0.0,14415,196409000.0,685269000.0,9791070000000.0,23260100000000.0,0.0
L2_relaunch3,W2,2275,1.0,0.8311776962637363,0.647858,0.980519,0.0,0.0,0.0,54621,122342000.0,1036940000.0,71504800000000.0,192033000000000.0,0.0
