version,git_sha,workload,run_id,frame_id,function,time_ms,scan_count,scan_points,candidate_count,bounds_count,branch_calls,branch_nodes,max_depth,score_all_calls,sort_ms,output_candidate_count,best_score,pose_x,pose_y,pose_yaw,checksum
L2_relaunch3,ad6bb15,W0,1,0,MakeScans,0.931783,15,1081,0,15,0,0,3,0,0,150,0.856585,-2,6.82,-3.02553,4.72652e+08
L2_relaunch3,ad6bb15,W0,1,0,MakeBounds,0.00276,15,1081,0,15,0,0,3,0,0,150,0.856585,-2,6.82,-3.02553,4.72652e+08
L2_relaunch3,ad6bb15,W0,1,0,MakeLowCands,0.037813,15,1081,3840,15,0,0,3,0,0,150,0.856585,-2,6.82,-3.02553,4.72652e+08
L2_relaunch3,ad6bb15,W0,1,0,Score,191.546,15,1081,3840,15,0,0,3,15,0.49209,150,0.856585,-2,6.82,-3.02553,4.72652e+08
L2_relaunch3,ad6bb15,W0,1,0,Branch,0.704333,15,1081,3840,15,28,50,3,0,0.004535,150,0.856585,-2,6.82,-3.02553,4.72652e+08
L2_relaunch3,ad6bb15,W0,1,0,ToOut,0.011615,15,1081,3840,15,0,0,3,0,0,150,0.856585,-2,6.82,-3.02553,4.72652e+08
L2_relaunch3,ad6bb15,W0,1,0,Total,193.236,15,1081,3840,15,28,50,3,15,0.496625,150,0.856585,-2,6.82,-3.02553,4.72652e+08
L2_relaunch3,ad6bb15,W0,1,1,MakeScans,0.725166,15,1081,0,15,0,0,3,0,0,150,0.855341,-2,6.82,-3.02553,4.62684e+08
L2_relaunch3,ad6bb15,W0,1,1,MakeBounds,0.00073,15,1081,0,15,0,0,3,0,0,150,0.855341,-2,6.82,-3.02553,4.62684e+08
L2_relaunch3,ad6bb15,W0,1,1,MakeLowCands,0.026615,15,1081,3840,15,0,0,3,0,0,150,0.855341,-2,6.82,-3.02553,4.62684e+08
L2_relaunch3,ad6bb15,W0,1,1,Score,81.0521,15,1081,3840,15,0,0,3,15,0.517403,150,0.855341,-2,6.82,-3.02553,4.62684e+08
L2_relaunch3,ad6bb15,W0,1,1,Branch,0.91147,15,1081,3840,15,39,66,3,0,0.006618,150,0.855341,-2,6.82,-3.02553,4.62684e+08
L2_relaunch3,ad6bb15,W0,1,1,ToOut,0.009583,15,1081,3840,15,0,0,3,0,0,150,0.855341,-2,6.82,-3.02553,4.62684e+08
L2_relaunch3,ad6bb15,W0,1,1,Total,82.7267,15,1081,3840,15,39,66,3,15,0.524021,150,0.855341,-2,6.82,-3.02553,4.62684e+08
L2_relaunch3,ad6bb15,W0,1,2,MakeScans,0.723968,15,1081,0,15,0,0,3,0,0,150,0.851024,-2,6.82,-3.02553,4.67769e+08
L2_relaunch3,ad6bb15,W0,1,2,MakeBounds,0.000677,15,1081,0,15,0,0,3,0,0,150,0.851024,-2,6.82,-3.02553,4.67769e+08
L2_relaunch3,ad6bb15,W0,1,2,MakeLowCands,0.025573,15,1081,3840,15,0,0,3,0,0,150,0.851024,-2,6.82,-3.02553,4.67769e+08
L2_relaunch3,ad6bb15,W0,1,2,Score,81.2143,15,1081,3840,15,0,0,3,15,0.487298,150,0.851024,-2,6.82,-3.02553,4.67769e+08
L2_relaunch3,ad6bb15,W0,1,2,Branch,0.98793,15,1081,3840,15,42,70,3,0,0.006819,150,0.851024,-2,6.82,-3.02553,4.67769e+08
L2_relaunch3,ad6bb15,W0,1,2,ToOut,0.010573,15,1081,3840,15,0,0,3,0,0,150,0.851024,-2,6.82,-3.02553,4.67769e+08
