version,git_sha,workload,run_id,frame_id,function,time_ms,scan_count,scan_points,candidate_count,bounds_count,branch_calls,branch_nodes,max_depth,score_all_calls,sort_ms,output_candidate_count,best_score,pose_x,pose_y,pose_yaw,checksum
L0_relaunch3,ad6bb15,W0,1,4,Branch,163.507,15,1081,3840,15,47,79,3,46,0.0175,150,0.835537,-2,6.82,-3.02553,4.63745e+08
L0_relaunch3,ad6bb15,W0,1,4,ToOut,0.011667,15,1081,3840,15,0,0,3,0,0,150,0.835537,-2,6.82,-3.02553,4.63745e+08
L0_relaunch3,ad6bb15,W0,1,4,Total,248.69,15,1081,3840,15,47,79,3,61,0.510476,150,0.835537,-2,6.82,-3.02553,4.63745e+08
L0_relaunch3,ad6bb15,W0,1,5,MakeScans,0.726104,15,1081,0,15,0,0,3,0,0,150,0.854742,-2,6.82,-3.02553,4.62609e+08
L0_relaunch3,ad6bb15,W0,1,5,MakeBounds,0.00073,15,1081,0,15,0,0,3,0,0,150,0.854742,-2,6.82,-3.02553,4.62609e+08
L0_relaunch3,ad6bb15,W0,1,5,MakeLowCands,0.118699,15,1081,3840,15,0,0,3,0,0,150,0.854742,-2,6.82,-3.02553,4.62609e+08
L0_relaunch3,ad6bb15,W0,1,5,Score,80.0476,15,1081,3840,15,0,0,3,15,0.497403,150,0.854742,-2,6.82,-3.02553,4.62609e+08
L0_relaunch3,ad6bb15,W0,1,5,Branch,107.696,15,1081,3840,15,30,54,3,29,0.010628,150,0.854742,-2,6.82,-3.02553,4.62609e+08
L0_relaunch3,ad6bb15,W0,1,5,ToOut,0.01474,15,1081,3840,15,0,0,3,0,0,150,0.854742,-2,6.82,-3.02553,4.62609e+08
L0_relaunch3,ad6bb15,W0,1,5,Total,188.604,15,1081,3840,15,30,54,3,44,0.508031,150,0.854742,-2,6.82,-3.02553,4.62609e+08
L0_relaunch3,ad6bb15,W0,1,6,MakeScans,0.753917,15,1081,0,15,0,0,3,0,0,150,0.844929,-2,6.82,-3.02553,4.66698e+08
L0_relaunch3,ad6bb15,W0,1,6,MakeBounds,0.000729,15,1081,0,15,0,0,3,0,0,150,0.844929,-2,6.82,-3.02553,4.66698e+08
L0_relaunch3,ad6bb15,W0,1,6,MakeLowCands,0.122293,15,1081,3840,15,0,0,3,0,0,150,0.844929,-2,6.82,-3.02553,4.66698e+08
L0_relaunch3,ad6bb15,W0,1,6,Score,81.2888,15,1081,3840,15,0,0,3,15,0.492247,150,0.844929,-2,6.82,-3.02553,4.66698e+08
L0_relaunch3,ad6bb15,W0,1,6,Branch,92.4857,15,1081,3840,15,26,49,3,25,0.010054,150,0.844929,-2,6.82,-3.02553,4.66698e+08
L0_relaunch3,ad6bb15,W0,1,6,ToOut,0.011979,15,1081,3840,15,0,0,3,0,0,150,0.844929,-2,6.82,-3.02553,4.66698e+08
