workload,function,l0_avg_ms,l2_avg_ms,delta_ms,speedup_avg,l0_median_ms,l2_median_ms,speedup_median,l0_p95_ms,l2_p95_ms,speedup_p95,l0_std_ms,l2_std_ms,l0_n_samples,l2_n_samples,scan_count,scan_points,candidate_count,l0_score_all_calls_avg,l2_score_all_calls_avg,l0_branch_nodes_avg,l2_branch_nodes_avg
W0,Total,208.65591636096846,80.27461421610776,128.38130214486068,2.5992764761129172,185.178,81.4651,2.273096086545036,379.028,83.8384,4.520935514036528,78.8801207987662,3.3371212880792545,1363,3489,15,1081,3840,50.76008804108584,15.0,66.80410858400587,75.56176554886787
W0,Branch,129.8286386647102,1.0058479650329608,128.82279069967726,129.07381948171047,106.517,0.801938,132.8244826906818,300.13,2.15691,139.14813320908152,77.95124706868035,0.6205006803841108,1363,3489,15,1081,3840,35.76008804108584,0.0,66.80410858400587,75.56176554886787
W0,MakeLowCands,0.1204413257520176,0.026929218400687877,0.09351210735132973,4.472514722110949,0.119064,0.026563,4.4823250385875095,0.124585,0.027449,4.538781012058727,0.008654705926377565,0.0035714985047259843,1363,3489,15,1081,3840,0.0,0.0,0.0,0.0
W0,Score,77.96309325018342,78.50084772141015,-0.5377544712267337,0.9931496985467576,79.075,79.4759,0.9949557035529011,81.4945,81.5758,0.999003380904631,3.4373405551421423,3.117045900304584,1363,3489,15,1081,3840,15.0,15.0,0.0,0.0
W0,MakeScans,0.7302292934702861,0.7293410392662654,0.000888254204020722,1.0012178859493692,0.724958,0.725114,0.9997848614148948,0.775531,0.771521,1.005197525407604,0.020785835810112903,0.02154224246425271,1363,3489,15,1081,0,0.0,0.0,0.0,0.0
W0,MakeBounds,0.0007961834189288335,0.0007032714244769275,9.291199445190601e-05,1.132113990726996,0.000781,0.000677,1.153618906942393,0.001042,0.000938,1.1108742004264391,0.00011789716562832293,0.0004779340520731145,1363,3489,15,1081,0,0.0,0.0,0.0,0.0
W0,ToOut,0.011550216434336024,0.009903773287474922,0.0016464431468611023,1.1662440262988776,0.011355,0.009584,1.1847871452420702,0.013438,0.011459,1.1727026791168513,0.002467141314983752,0.002292742827628959,1363,3489,15,1081,3840,0.0,0.0,0.0,0.0
W1,Total,140.44882381664175,69.7762734622144,70.67255035442734,2.012845009452938,117.965,69.5073,1.6971598666614873,236.227,83.5557,2.827179953013379,103.68844598803393,7.76056886669576,2007,3983,15,1081,14415,54.54260089686099,15.0,74.40159441953163,90.6259101180015
W1,Branch,73.5488529546587,1.2034501343208637,72.34540282033784,61.114998334487794,49.4207,0.825428,59.87281749589303,167.916,3.23619,51.886941125212054,102.99285914843976,1.0809215884133223,2007,3983,15,1081,14415,39.54260089686099,0.0,74.40159441953163,90.6259101180015
W1,MakeLowCands,0.3922980812157449,0.09076014185287472,0.30153793936287016,4.322360820586568,0.383495,0.089585,4.280794775911145,0.441673,0.09271,4.764027612986733,0.03542553762019486,0.006654925392717423,2007,3983,15,1081,14415,0.0,0.0,0.0,0.0
W1,Score,65.75294439461884,67.73966776299272,-1.9867233683738874,0.9706711970403364,66.8163,67.4489,0.9906210479340657,74.7376,81.4292,0.9178230904884244,6.9891330200213355,7.5559044600127105,2007,3983,15,1081,14415,15.0,15.0,0.0,0.0
W1,MakeScans,0.741213408570005,0.7296674318353,0.011545976734704921,1.015823615295072,0.726103,0.725323,1.0010753829673125,0.78199,0.772928,1.011724248571665,0.23999314232035274,0.020823746740385014,2007,3983,15,1081,0,0.0,0.0,0.0,0.0
W1,MakeBounds,0.0007764359740906826,0.0007099718804920915,6.646409359859114e-05,1.0936151070554005,0.000729,0.000677,1.0768094534711965,0.00099,0.000938,1.0554371002132197,0.00011228142946688,0.0003425153458493416,2007,3983,15,1081,0,0.0,0.0,0.0,0.0
W1,ToOut,0.011559841554559044,0.01096254280692945,0.0005972987476295932,1.054485419865548,0.011354,0.010729,1.0582533320905956,0.013386,0.012761,1.048977352872032,0.0020640666093669226,0.0020277899105327745,2007,3983,15,1081,14415,0.0,0.0,0.0,0.0
W2,Total,199.56040976645434,123.38776197802198,76.17264778843236,1.6173436211769554,170.156,124.344,1.3684295181110468,352.433,142.096,2.4802457493525503,93.92032248029676,12.1357896265764,1413,2275,21,1081,54621,70.2823779193206,21.0,94.02618542108988,123.41846153846154
W2,Branch,81.9410013871196,1.6076782281318682,80.33332315898772,50.968533350318204,50.9256,0.900273,56.5668413914446,229.262,5.30903,43.18340638497051,91.28033367351016,1.9040481073476636,1413,2275,21,1081,54621,49.282377919320595,0.0,94.02618542108988,123.41846153846154
W2,MakeLowCands,2.872228372257608,0.34246451516483517,2.5297638570927727,8.386937171797626,2.86311,0.324432,8.824992602455984,2.99087,0.386047,7.747424536390648,0.06947196585763772,0.02777814955486186,1413,2275,21,1081,54621,0.0,0.0,0.0,0.0
W2,Score,113.72349688605803,120.42650307692308,-6.703006190865054,0.9443394433982404,114.225,121.377,0.9410761511653772,129.958,139.127,0.9340961854995794,11.113992431948674,11.849500813751256,1413,2275,21,1081,54621,21.0,21.0,0.0,0.0
W2,MakeScans,1.0094072604387827,0.998816301978022,0.010590958460760747,1.010603509814354,0.994493,0.994858,0.9996331134694599,1.07022,1.02626,1.042835148987586,0.034420028142968136,0.023767326737034442,1413,2275,21,1081,0,0.0,0.0,0.0,0.0
W2,MakeBounds,0.0008558011323425336,0.0007806742857142858,7.512684662824788e-05,1.0962332793624807,0.000833,0.000729,1.1426611796982167,0.001094,0.001042,1.0499040307101728,0.00012399703322260851,0.0004868802014243468,1413,2275,21,1081,0,0.0,0.0,0.0,0.0
W2,ToOut,0.011904646850672329,0.010326714285714286,0.0015779325649580428,1.152801028604124,0.011719,0.010208,1.1480211598746082,0.013542,0.011979,1.1304783370899074,0.001703584221653878,0.0011724215115108338,1413,2275,21,1081,54621,0.0,0.0,0.0,0.0
