version,workload,n_samples,ok_ratio,best_score_avg,max_pose_dx,max_pose_dy,max_pose_dyaw,max_abs_diff_max
L2_final_branch_th0,W2,448,1.000000,0.837157,0.000000000,0.000000000,0.000000000,0.000000000
L2_final_branch_th16,W2,796,1.000000,0.832440,0.000000000,0.000000000,0.000000000,0.000000000
L2_final_branch_th4,W2,808,1.000000,0.831741,0.000000000,0.000000000,0.000000000,0.000000000
