version,git_sha,workload,run_id,frame_id,function,time_ms,scan_count,scan_points,candidate_count,bounds_count,branch_calls,branch_nodes,max_depth,score_all_calls,sort_ms,output_candidate_count,best_score,pose_x,pose_y,pose_yaw,checksum
L2_final_branch_th0,ad6bb15,W2,0,4,Branch,47.3323,21,1081,54621,21,26,46,3,25,0.011356,150,0.854742,-2,6.82,-3.02553,2.19616e+08
L2_final_branch_th0,ad6bb15,W2,0,4,ToOut,0.012761,21,1081,54621,21,0,0,3,0,0,150,0.854742,-2,6.82,-3.02553,2.19616e+08
L2_final_branch_th0,ad6bb15,W2,0,4,Total,215.913,21,1081,54621,21,26,46,3,46,7.08755,150,0.854742,-2,6.82,-3.02553,2.19616e+08
L2_final_branch_th0,ad6bb15,W2,0,5,MakeScans,1.04658,21,1081,0,21,0,0,3,0,0,150,0.854887,-2,6.82,-3.02553,2.81298e+08
L2_final_branch_th0,ad6bb15,W2,0,5,MakeBounds,0.000729,21,1081,0,21,0,0,3,0,0,150,0.854887,-2,6.82,-3.02553,2.81298e+08
L2_final_branch_th0,ad6bb15,W2,0,5,MakeLowCands,0.324953,21,1081,54621,21,0,0,3,0,0,150,0.854887,-2,6.82,-3.02553,2.81298e+08
L2_final_branch_th0,ad6bb15,W2,0,5,Score,152.513,21,1081,54621,21,0,0,3,21,7.05656,150,0.854887,-2,6.82,-3.02553,2.81298e+08
L2_final_branch_th0,ad6bb15,W2,0,5,Branch,47.7081,21,1081,54621,21,26,46,3,25,0.012088,150,0.854887,-2,6.82,-3.02553,2.81298e+08
L2_final_branch_th0,ad6bb15,W2,0,5,ToOut,0.012761,21,1081,54621,21,0,0,3,0,0,150,0.854887,-2,6.82,-3.02553,2.81298e+08
L2_final_branch_th0,ad6bb15,W2,0,5,Total,201.608,21,1081,54621,21,26,46,3,46,7.06865,150,0.854887,-2,6.82,-3.02553,2.81298e+08
L2_final_branch_th0,ad6bb15,W2,0,6,MakeScans,1.05069,21,1081,0,21,0,0,3,0,0,150,0.845285,-2,6.82,-3.02553,2.89435e+08
L2_final_branch_th0,ad6bb15,W2,0,6,MakeBounds,0.000729,21,1081,0,21,0,0,3,0,0,150,0.845285,-2,6.82,-3.02553,2.89435e+08
L2_final_branch_th0,ad6bb15,W2,0,6,MakeLowCands,0.327453,21,1081,54621,21,0,0,3,0,0,150,0.845285,-2,6.82,-3.02553,2.89435e+08
L2_final_branch_th0,ad6bb15,W2,0,6,Score,152.431,21,1081,54621,21,0,0,3,21,7.00666,150,0.845285,-2,6.82,-3.02553,2.89435e+08
L2_final_branch_th0,ad6bb15,W2,0,6,Branch,55.9899,21,1081,54621,21,30,54,3,29,0.015262,150,0.845285,-2,6.82,-3.02553,2.89435e+08
L2_final_branch_th0,ad6bb15,W2,0,6,ToOut,0.012344,21,1081,54621,21,0,0,3,0,0,150,0.845285,-2,6.82,-3.02553,2.89435e+08
L2_final_branch_th0,ad6bb15,W2,0,6,Total,209.813,21,1081,54621,21,30,54,3,50,7.02192,150,0.845285,-2,6.82,-3.02553,2.89435e+08
L2_final_branch_th0,ad6bb15,W2,0,7,MakeScans,1.04205,21,1081,0,21,0,0,3,0,0,150,0.852689,-2,6.82,-3.02553,2.83615e+08
L2_final_branch_th0,ad6bb15,W2,0,7,MakeBounds,0.000729,21,1081,0,21,0,0,3,0,0,150,0.852689,-2,6.82,-3.02553,2.83615e+08
L2_final_branch_th0,ad6bb15,W2,0,7,MakeLowCands,0.326827,21,1081,54621,21,0,0,3,0,0,150,0.852689,-2,6.82,-3.02553,2.83615e+08
L2_final_branch_th0,ad6bb15,W2,0,7,Score,147.713,21,1081,54621,21,0,0,3,21,6.99062,150,0.852689,-2,6.82,-3.02553,2.83615e+08
L2_final_branch_th0,ad6bb15,W2,0,7,Branch,51.6214,21,1081,54621,21,29,52,3,28,0.012659,150,0.852689,-2,6.82,-3.02553,2.83615e+08
L2_final_branch_th0,ad6bb15,W2,0,7,ToOut,0.013958,21,1081,54621,21,0,0,3,0,0,150,0.852689,-2,6.82,-3.02553,2.83615e+08
L2_final_branch_th0,ad6bb15,W2,0,7,Total,200.719,21,1081,54621,21,29,52,3,49,7.00328,150,0.852689,-2,6.82,-3.02553,2.83615e+08
L2_final_branch_th0,ad6bb15,W2,0,8,MakeScans,0.992566,21,1081,0,21,0,0,3,0,0,150,0.855098,-2,6.82,-3.02553,2.63489e+08
L2_final_branch_th0,ad6bb15,W2,0,8,MakeBounds,0.000625,21,1081,0,21,0,0,3,0,0,150,0.855098,-2,6.82,-3.02553,2.63489e+08
L2_final_branch_th0,ad6bb15,W2,0,8,MakeLowCands,0.324952,21,1081,54621,21,0,0,3,0,0,150,0.855098,-2,6.82,-3.02553,2.63489e+08
L2_final_branch_th0,ad6bb15,W2,0,8,Score,137.715,21,1081,54621,21,0,0,3,21,7.02515,150,0.855098,-2,6.82,-3.02553,2.63489e+08
L2_final_branch_th0,ad6bb15,W2,0,8,Branch,46.1247,21,1081,54621,21,26,46,3,25,0.011615,150,0.855098,-2,6.82,-3.02553,2.63489e+08
L2_final_branch_th0,ad6bb15,W2,0,8,ToOut,0.012552,21,1081,54621,21,0,0,3,0,0,150,0.855098,-2,6.82,-3.02553,2.63489e+08
L2_final_branch_th0,ad6bb15,W2,0,8,Total,185.172,21,1081,54621,21,26,46,3,46,7.03677,150,0.855098,-2,6.82,-3.02553,2.63489e+08
L2_final_branch_th0,ad6bb15,W2,0,9,MakeScans,0.994232,21,1081,0,21,0,0,3,0,0,150,0.843409,-2,6.82,-3.02553,2.89355e+08
L2_final_branch_th0,ad6bb15,W2,0,9,MakeBounds,0.000625,21,1081,0,21,0,0,3,0,0,150,0.843409,-2,6.82,-3.02553,2.89355e+08
L2_final_branch_th0,ad6bb15,W2,0,9,MakeLowCands,0.328077,21,1081,54621,21,0,0,3,0,0,150,0.843409,-2,6.82,-3.02553,2.89355e+08
L2_final_branch_th0,ad6bb15,W2,0,9,Score,137.925,21,1081,54621,21,0,0,3,21,7.0589,150,0.843409,-2,6.82,-3.02553,2.89355e+08
L2_final_branch_th0,ad6bb15,W2,0,9,Branch,52.8812,21,1081,54621,21,30,54,3,29,0.012815,150,0.843409,-2,6.82,-3.02553,2.89355e+08
L2_final_branch_th0,ad6bb15,W2,0,9,ToOut,0.012292,21,1081,54621,21,0,0,3,0,0,150,0.843409,-2,6.82,-3.02553,2.89355e+08
L2_final_branch_th0,ad6bb15,W2,0,9,Total,192.143,21,1081,54621,21,30,54,3,50,7.07172,150,0.843409,-2,6.82,-3.02553,2.89355e+08
L2_final_branch_th0,ad6bb15,W2,0,10,MakeScans,1.04809,21,1081,0,21,0,0,3,0,0,150,0.844752,-2,6.82,-3.02553,2.8943e+08
L2_final_branch_th0,ad6bb15,W2,0,10,MakeBounds,0.000625,21,1081,0,21,0,0,3,0,0,150,0.844752,-2,6.82,-3.02553,2.8943e+08
L2_final_branch_th0,ad6bb15,W2,0,10,MakeLowCands,0.324588,21,1081,54621,21,0,0,3,0,0,150,0.844752,-2,6.82,-3.02553,2.8943e+08
L2_final_branch_th0,ad6bb15,W2,0,10,Score,137.901,21,1081,54621,21,0,0,3,21,6.98317,150,0.844752,-2,6.82,-3.02553,2.8943e+08
L2_final_branch_th0,ad6bb15,W2,0,10,Branch,53.344,21,1081,54621,21,30,54,3,29,0.013231,150,0.844752,-2,6.82,-3.02553,2.8943e+08
L2_final_branch_th0,ad6bb15,W2,0,10,ToOut,0.011303,21,1081,54621,21,0,0,3,0,0,150,0.844752,-2,6.82,-3.02553,2.8943e+08
L2_final_branch_th0,ad6bb15,W2,0,10,Total,192.631,21,1081,54621,21,30,54,3,50,6.9964,150,0.844752,-2,6.82,-3.02553,2.8943e+08
L2_final_branch_th0,ad6bb15,W2,0,11,MakeScans,0.994337,21,1081,0,21,0,0,3,0,0,150,0.853288,-2,6.82,-3.02553,2.17713e+08
L2_final_branch_th0,ad6bb15,W2,0,11,MakeBounds,0.000781,21,1081,0,21,0,0,3,0,0,150,0.853288,-2,6.82,-3.02553,2.17713e+08
L2_final_branch_th0,ad6bb15,W2,0,11,MakeLowCands,0.324692,21,1081,54621,21,0,0,3,0,0,150,0.853288,-2,6.82,-3.02553,2.17713e+08
L2_final_branch_th0,ad6bb15,W2,0,11,Score,137.815,21,1081,54621,21,0,0,3,21,7.02093,150,0.853288,-2,6.82,-3.02553,2.17713e+08
L2_final_branch_th0,ad6bb15,W2,0,11,Branch,49.9286,21,1081,54621,21,28,50,3,27,0.014377,150,0.853288,-2,6.82,-3.02553,2.17713e+08
L2_final_branch_th0,ad6bb15,W2,0,11,ToOut,0.012656,21,1081,54621,21,0,0,3,0,0,150,0.853288,-2,6.82,-3.02553,2.17713e+08
L2_final_branch_th0,ad6bb15,W2,0,11,Total,189.078,21,1081,54621,21,28,50,3,48,7.03531,150,0.853288,-2,6.82,-3.02553,2.17713e+08
L2_final_branch_th0,ad6bb15,W2,0,12,MakeScans,0.992931,21,1081,0,21,0,0,3,0,0,150,0.838058,-2,6.82,-3.02553,2.08665e+08
L2_final_branch_th0,ad6bb15,W2,0,12,MakeBounds,0.000833,21,1081,0,21,0,0,3,0,0,150,0.838058,-2,6.82,-3.02553,2.08665e+08
L2_final_branch_th0,ad6bb15,W2,0,12,MakeLowCands,0.324483,21,1081,54621,21,0,0,3,0,0,150,0.838058,-2,6.82,-3.02553,2.08665e+08
L2_final_branch_th0,ad6bb15,W2,0,12,Score,137.68,21,1081,54621,21,0,0,3,21,7.08036,150,0.838058,-2,6.82,-3.02553,2.08665e+08
L2_final_branch_th0,ad6bb15,W2,0,12,Branch,53.4799,21,1081,54621,21,33,60,3,32,0.01385,150,0.838058,-2,6.82,-3.02553,2.08665e+08
L2_final_branch_th0,ad6bb15,W2,0,12,ToOut,0.012135,21,1081,54621,21,0,0,3,0,0,150,0.838058,-2,6.82,-3.02553,2.08665e+08
L2_final_branch_th0,ad6bb15,W2,0,12,Total,192.492,21,1081,54621,21,33,60,3,53,7.09421,150,0.838058,-2,6.82,-3.02553,2.08665e+08
L2_final_branch_th0,ad6bb15,W2,0,13,MakeScans,0.995743,21,1081,0,21,0,0,3,0,0,150,0.857118,-2.05,6.82,-3.02553,2.68683e+08
L2_final_branch_th0,ad6bb15,W2,0,13,MakeBounds,0.000573,21,1081,0,21,0,0,3,0,0,150,0.857118,-2.05,6.82,-3.02553,2.68683e+08
L2_final_branch_th0,ad6bb15,W2,0,13,MakeLowCands,0.324432,21,1081,54621,21,0,0,3,0,0,150,0.857118,-2.05,6.82,-3.02553,2.68683e+08
L2_final_branch_th0,ad6bb15,W2,0,13,Score,135.64,21,1081,54621,21,0,0,3,21,7.05406,150,0.857118,-2.05,6.82,-3.02553,2.68683e+08
L2_final_branch_th0,ad6bb15,W2,0,13,Branch,38.5108,21,1081,54621,21,24,44,3,23,0.010576,150,0.857118,-2.05,6.82,-3.02553,2.68683e+08
L2_final_branch_th0,ad6bb15,W2,0,13,ToOut,0.013438,21,1081,54621,21,0,0,3,0,0,150,0.857118,-2.05,6.82,-3.02553,2.68683e+08
L2_final_branch_th0,ad6bb15,W2,0,13,Total,175.487,21,1081,54621,21,24,44,3,44,7.06463,150,0.857118,-2.05,6.82,-3.02553,2.68683e+08
L2_final_branch_th0,ad6bb15,W2,0,14,MakeScans,0.995692,21,1081,0,21,0,0,3,0,0,150,0.833854,-2.2,6.82,-3.02553,2.0267e+08
L2_final_branch_th0,ad6bb15,W2,0,14,MakeBounds,0.000781,21,1081,0,21,0,0,3,0,0,150,0.833854,-2.2,6.82,-3.02553,2.0267e+08
L2_final_branch_th0,ad6bb15,W2,0,14,MakeLowCands,0.325474,21,1081,54621,21,0,0,3,0,0,150,0.833854,-2.2,6.82,-3.02553,2.0267e+08
